Record Number,Publication Info.,Call No.,Horizon checkouts,Old in-house uses,Checkout Date,Standard No.,Title,CNY
i11046855,"Cambridge, Mass. : MIT Press, 1986, c1985.",660.62 A627,13,1,  -  -    ,262010895,Biotechnology : strategies for life / Elizabeth Antebi and David Fishlock.,X
i11047264,"New York : Putnam's Sons, c1986.",660.6 C146,4,1,  -  -    ,399131760,The green machines / Nigel Calder.,
i11047859,"Reading, Mass. : Addison-Wesley Pub. Co., 1987, c1985.",530 S439C6,45,1,  -  -    ,201078363,"College physics / Francis W. Sears, Mark W. Zemansky, Hugh D. Young.",
i11048104,"New York : Wiley, c1987.",621.3815 B259,14,,  -  -    ,471011452,Integrated circuits in digital electronics / Arpad Barna and Dan I. Porat.,
i11048153,"New York : Wiley, c1987.",624.183 F622,24,,  -  -    ,047180827X,Practical design of reinforced concrete / Russell S. Fling.,X
i11048165,"New York : Macmillan, c1986.",303.4 C597,12,,  -  -    ,25258001,"Arthur C. Clarke's July 20, 2019 : life in the 21st century.",X
i11048190,"New York : Chapman and Hall, 1986.",519.503 T564,0,,  -  -    ,412012014,A topical dictionary of statistics / Gary L. Tietjen.,X
i11048268,"New York, N.Y. : World Almanac : Distributed in the U.S. by Ballantine Books, 1987.",641 R584,21,,  -  -    ,0886873207;0345348761 (Ballantine),"The complete book of food : a nutritional, medical, and culinary guide / Carol Ann Rinzler ; with an introduction by Jane Brody ; foreword by Michael D. Jensen.",X
i11048372,"Hollywood, Calif. : Vedanta Press, c1972.",294.592 B575,7,,  -  -    ,,Bhagavad-Gita : the song of God / translated by Swami Prabhavananda and Christopher Isherwood ; with an introduction by Aldous Huxley.,
i11048785,"New York : Wiley, c1986.",541.3 K96,13,1,  -  -    ,471098523,Principles of combustion / Kenneth Kuan-yun Kuo.,
i11048827,"New York : Wiley, c1987.",004.16 M626,9,,  -  -    ,471097276,Microprocessor fundamentals / Fred Halsall ... [et al.].,ONLY PRATT
i11048918,"New York : Wiley, c1986.",620.0068 H236,2,,  -  -    ,471878286,"Handbook of engineering management / John E. Ullmann, editor, Donald A. Christman, Bert Holtje, associate editors.",
i11049091,"San Francisco : Harper & Row, c1987.",291.13 A541,14,,  -  -    ,0060655771;0060655763 (pbk.),The Ancient mysteries : a sourcebook : sacred texts of the mystery religions of the ancient Mediterranean world / edited by Marvin W. Meyer.,X
i1104911x,"New York, N.Y. : Facts on File Publications, c1987.",598.44 S736,36,1,  -  -    ,816017530,Penguins / John Sparks and Tony Soper ; illustrated by Robert Gillmor.,
i11049789,"London ; Boston : Butterworths, 1986.",507 P238,10,1,  -  -    ,408014679,"Information sources in science and technology : a practical guide to traditional and online use / C.C. Parker, R.V. Turley.",ONLY PRATT
i11050378,"New York, Norton 1961 [c1955]",378.42 K41,2,,  -  -    ,,"Portrait of Cambridge, a selection of photographs by A. F. Kersting, with text by Bryan Little, and foreword by S. C. Roberts.",
i1105234x,"New York : Simon and Schuster, c1987.",391 C345,6,,  -  -    ,067162640X,In my own fashion : an autobiography / Oleg Cassini.,X
i11057506,"Littleton, Colo. : Libraries Unlimited, 1978.",686.43 S228,4,,  -  -    ,0872871754 : $12.50,Micrographics / William Saffady.,X
